--------------------------------------------------------------
Output text data of Measurement
,12/05/2021 5:11:43 p.m.
Title,
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,
Revised By,c.young
Revision No.,0
Start time of part program,12/05/2021 4:55:30 p.m.
End time of part program,12/05/2021 5:10:12 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_2>,1.828µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_2>,Gaussian-50%Low[0.25 mm],2.5025 mm,180.02 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,339,4.1025,0.6539,1.0470,-0.4231,0
1,340,4.1065,0.6708,1.0421,-0.4286,0
1,341,4.1105,0.7267,1.0367,-0.4345,0
1,342,4.1145,0.8372,1.0309,-0.4409,0
1,343,4.1185,0.9659,1.0245,-0.4478,0
1,344,4.1225,1.0673,1.0176,-0.4552,0
1,345,4.1265,1.1479,1.0102,-0.4632,0
1,346,4.1305,1.2805,1.0021,-0.4718,0
1,347,4.1345,1.5015,0.9935,-0.4809,0
1,348,4.1385,1.7407,0.9844,-0.4906,0
1,349,4.1425,1.8603,0.9747,-0.5008,0
1,350,4.1465,1.7862,0.9646,-0.5114,0
1,351,4.1505,1.5743,0.9542,-0.5224,0
1,352,4.1545,1.3338,0.9436,-0.5335,0
1,353,4.1585,1.1310,0.9330,-0.5446,0
1,354,4.1625,0.9737,0.9225,-0.5556,0
1,355,4.1665,0.8372,0.9124,-0.5663,0
1,356,4.1705,0.6968,0.9028,-0.5764,0
1,357,4.1745,0.5590,0.8940,-0.5858,0
1,358,4.1785,0.4524,0.8861,-0.5942,0
1,359,4.1825,0.3809,0.8793,-0.6016,0
1,360,4.1865,0.3224,0.8736,-0.6077,0
1,361,4.1905,0.2717,0.8693,-0.6126,0
1,362,4.1945,0.2509,0.8664,-0.6161,0
1,363,4.1985,0.2704,0.8648,-0.6182,0
1,364,4.2025,0.3081,0.8645,-0.6190,0
1,365,4.2065,0.3497,0.8654,-0.6186,0
1,366,4.2105,0.4173,0.8675,-0.6171,0
1,367,4.2145,0.5174,0.8706,-0.6146,0
1,368,4.2185,0.6331,0.8744,-0.6113,0
1,369,4.2225,0.7501,0.8788,-0.6074,0
1,370,4.2265,0.8762,0.8835,-0.6032,0
1,371,4.2305,1.0361,0.8884,-0.5989,0
1,372,4.2345,1.2532,0.8932,-0.5945,0
1,373,4.2385,1.5301,0.8979,-0.5905,0
1,374,4.2425,1.7953,0.9021,-0.5868,0
1,375,4.2465,1.9149,0.9058,-0.5836,0
1,376,4.2505,1.8187,0.9090,-0.5809,0
1,377,4.2545,1.5873,0.9115,-0.5789,0
1,378,4.2585,1.3637,0.9135,-0.5775,0
1,379,4.2625,1.1947,0.9148,-0.5767,0
1,380,4.2665,1.0218,0.9157,-0.5764,0
1,381,4.2705,0.8177,0.9161,-0.5765,0
1,382,4.2745,0.6474,0.9162,-0.5769,0
1,383,4.2785,0.5629,0.9162,-0.5775,0
1,384,4.2825,0.5304,0.9160,-0.5782,0
1,385,4.2865,0.4940,0.9160,-0.5788,0
1,386,4.2905,0.4550,0.9160,-0.5793,0
1,387,4.2945,0.4407,0.9163,-0.5795,0
1,388,4.2985,0.4394,0.9168,-0.5795,0
1,389,4.3025,0.4212,0.9177,-0.5792,0
1,390,4.3065,0.4173,0.9187,-0.5787,0
1,391,4.3105,0.4862,0.9201,-0.5779,0
1,392,4.3145,0.6253,0.9216,-0.5769,0
1,393,4.3185,0.7670,0.9231,-0.5759,0
1,394,4.3225,0.8710,0.9247,-0.5748,0
1,395,4.3265,0.9698,0.9262,-0.5739,0
1,396,4.3305,1.1271,0.9274,-0.5732,0
1,397,4.3345,1.3689,0.9284,-0.5727,0
1,398,4.3385,1.6380,0.9290,-0.5726,0
1,399,4.3425,1.8213,0.9293,-0.5730,0
1,400,4.3465,1.8278,0.9290,-0.5737,0
1,401,4.3505,1.6653,0.9284,-0.5749,0
1,402,4.3545,1.4300,0.9274,-0.5765,0
1,403,4.3585,1.2181,0.9260,-0.5784,0
1,404,4.3625,1.0608,0.9244,-0.5805,0
1,405,4.3665,0.9269,0.9227,-0.5828,0
1,406,4.3705,0.7878,0.9209,-0.5850,0
1,407,4.3745,0.6552,0.9193,-0.5872,0
1,408,4.3785,0.5525,0.9179,-0.5891,0
1,409,4.3825,0.4771,0.9168,-0.5908,0
1,410,4.3865,0.4147,0.9161,-0.5920,0
1,411,4.3905,0.3692,0.9160,-0.5927,0
1,412,4.3945,0.3614,0.9163,-0.5929,0
1,413,4.3985,0.3874,0.9172,-0.5926,0
1,414,4.4025,0.4277,0.9185,-0.5917,0
1,415,4.4065,0.4836,0.9203,-0.5905,0
1,416,4.4105,0.5655,0.9224,-0.5889,0
1,417,4.4145,0.6708,0.9247,-0.5872,0
1,418,4.4185,0.7852,0.9271,-0.5853,0
1,419,4.4225,0.9035,0.9295,-0.5834,0
1,420,4.4265,1.0361,0.9317,-0.5817,0
1,421,4.4305,1.2051,0.9336,-0.5804,0
1,422,4.4345,1.4313,0.9351,-0.5794,0
1,423,4.4385,1.6861,0.9362,-0.5789,0
1,424,4.4425,1.8707,0.9367,-0.5789,0
1,425,4.4465,1.8824,0.9366,-0.5795,0
1,426,4.4505,1.7160,0.9361,-0.5805,0
1,427,4.4545,1.4742,0.9352,-0.5820,0
1,428,4.4585,1.2584,0.9340,-0.5838,0
1,429,4.4625,1.0920,0.9326,-0.5857,0
1,430,4.4665,0.9334,0.9311,-0.5876,0
1,431,4.4705,0.7618,0.9299,-0.5894,0
1,432,4.4745,0.6123,0.9291,-0.5907,0
1,433,4.4785,0.5239,0.9289,-0.5915,0
1,434,4.4825,0.4745,0.9295,-0.5915,0
1,435,4.4865,0.4173,0.9310,-0.5905,0
1,436,4.4905,0.3601,0.9336,-0.5884,0
1,437,4.4945,0.3445,0.9374,-0.5852,0
1,438,4.4985,0.3692,0.9425,-0.5806,0
1,439,4.5025,0.3900,0.9489,-0.5747,0
1,440,4.5065,0.4069,0.9565,-0.5676,0
1,441,4.5105,0.4706,0.9655,-0.5592,0
1,442,4.5145,0.5915,0.9755,-0.5497,0
1,443,4.5185,0.7228,0.9866,-0.5391,0
1,444,4.5225,0.8346,0.9986,-0.5277,0
1,445,4.5265,0.9503,1.0113,-0.5155,0
1,446,4.5305,1.1063,1.0246,-0.5027,0
1,447,4.5345,1.3117,1.0383,-0.4896,0
1,448,4.5385,1.5691,1.0522,-0.4762,0
1,449,4.5425,1.8291,1.0662,-0.4627,0
1,450,4.5465,1.9760,1.0802,-0.4492,0
1,451,4.5505,1.9201,1.0942,-0.4358,0
1,452,4.5545,1.7147,1.1080,-0.4226,0
1,453,4.5585,1.5041,1.1216,-0.4094,0
1,454,4.5625,1.3481,1.1351,-0.3965,0
1,455,4.5665,1.2116,1.1485,-0.3837,0
1,456,4.5705,1.0712,1.1618,-0.3709,0
1,457,4.5745,0.9633,1.1750,-0.3583,0
1,458,4.5785,0.8970,1.1882,-0.3456,0
1,459,4.5825,0.8359,1.2015,-0.3328,0
1,460,4.5865,0.7722,1.2148,-0.3200,0
1,461,4.5905,0.7449,1.2283,-0.3070,0
1,462,4.5945,0.7592,1.2419,-0.2940,0
1,463,4.5985,0.7748,1.2556,-0.2808,0
1,464,4.6025,0.7839,1.2693,-0.2677,0
1,465,4.6065,0.8372,1.2829,-0.2546,0
1,466,4.6105,0.9516,1.2963,-0.2418,0
1,467,4.6145,1.0816,1.3093,-0.2292,0
